scenario,s_true,N,time_window,mean_squared_error,median_squared_error,bias,variance,crlb
Set 1,44.55331626783049,34,0.2,835.8356287212962,205.55497747776883,6.435483804709355,794.8175857134765,169.36090949181303
Set 1,44.55331626783049,34,0.5,298.6693509119877,49.54763252408453,-1.7574920731549923,295.72843674315664,67.74436379672522
Set 1,44.55331626783049,34,1.0,87.6043172932423,18.447405339843417,-1.008462737968484,86.63063551712999,33.87218189836261
Set 1,44.55331626783049,34,2.0,23.243677708097923,7.92707202105752,-0.24040916250802433,23.197479882621423,16.936090949181306
Set 1,44.55331626783049,34,5.0,6.942657560369863,3.319996577375889,-0.29864401704262206,6.856897760334676,6.774436379672522
Set 1,44.55331626783049,34,10.0,3.6374891277029975,1.5161082056313742,-0.12716060640978938,3.623130873317151,3.387218189836261
Set 1,44.55331626783049,34,20.0,1.7087381441214533,0.8138790405669232,-0.05584068728802931,1.706473198363836,1.6936090949181306
Set 1,44.55331626783049,34,50.0,0.6636684022857291,0.2849842159684353,-0.0024856821616273807,0.6639942207803107,0.6774436379672523
Set 1,44.55331626783049,34,100.0,0.33142489756802723,0.15507508564495256,0.010859319858339583,0.331472709094789,0.33872181898362613
Set 2,127.73674006967849,61,0.2,677.0094236229427,53.489282957861676,-4.271782524614026,659.0908431068984,84.86763575829056
Set 2,127.73674006967849,61,0.5,58.20816435062287,17.028714168202793,-0.4587449785300347,58.026730760676685,33.94705430331623
Set 2,127.73674006967849,61,1.0,19.607952581169084,8.089639932867069,-0.6551343844973,19.18834569226456,16.973527151658114
Set 2,127.73674006967849,61,2.0,9.040053786910045,3.8275220584801737,-0.030929816913431152,9.04361894280715,8.486763575829057
Set 2,127.73674006967849,61,5.0,3.300969899626461,1.3455129887660349,-0.06992689098411145,3.297728994040778,3.394705430331623
Set 2,127.73674006967849,61,10.0,1.7426927337861393,0.8240792478647918,-0.07069353254956923,1.7385644404620333,1.6973527151658114
Set 2,127.73674006967849,61,20.0,0.8395734779714157,0.35774986706143275,-0.06642653590041538,0.8355787826910319,0.8486763575829057
Set 2,127.73674006967849,61,50.0,0.32936637271234553,0.1488162296391691,-0.008583328795574508,0.3294574278930792,0.33947054303316226
Set 2,127.73674006967849,61,100.0,0.17310272651748843,0.08113404142073144,0.003019975905028204,0.17318019636120205,0.16973527151658113
Set 3,149.0116166600346,41,0.2,463.263911795545,180.04520503445565,0.6355315181253428,463.09155726364605,241.478524859346
Set 3,149.0116166600346,41,0.5,153.74422572546976,54.20888932089822,1.2016236577225012,152.37651456795533,96.5914099437384
Set 3,149.0116166600346,41,1.0,66.47935537832615,24.608600718661883,0.5797343005199318,66.17635169497429,48.2957049718692
Set 3,149.0116166600346,41,2.0,28.20700495018743,10.367771763635023,0.3194548236812129,28.11901307235041,24.1478524859346
Set 3,149.0116166600346,41,5.0,9.5692925111742,4.307344277460289,-0.012087971462167758,9.573933358799529,9.659140994373839
Set 3,149.0116166600346,41,10.0,5.1310902671571,2.3206525785052916,0.08756173362581295,5.125986203063073,4.8295704971869196
Set 3,149.0116166600346,41,20.0,2.464798152355367,1.061088022272759,-0.013905584264976142,2.4658377059345837,2.4147852485934598
Set 3,149.0116166600346,41,50.0,0.9084327007933258,0.4329711217755766,0.013165965367793206,0.9087137150067632,0.9659140994373839
Set 3,149.0116166600346,41,100.0,0.4777760099250917,0.22505947993635625,-0.006760911366207665,0.47796928464491245,0.48295704971869197
